text,img,label
UPDATE CRASH Germanwings #4U9525 Crash of an A320 disappeared  at 09:39 UTC from radar,1519,1
Charlie Hebdo killers tell police: 'We are ready to die as martyrs',936,1
PHOTOS: New Yorkers write their thoughts in peaceful protest:,1297,0
"Good morning from #Paris where we will have the latest on the #CharlieHebdo attack. 9am in Paris, 3am in the east",324,0
'One million copies' of #CharlieHebdo to be published as French media vow to keep it running,525,0
"#Breaking: Canadian embassy in Washington, D.C. is locked down as precaution. #OttawaShooting",1628,0
The people tweeting from the scene of the #CharlieHebdo attack,136,0
"Dual hostage crisis ends: #CharlieHebdo suspects killed, ‘several hostages freed� at supermkt",781,0
"URGENT: #CharlieHebdo suspects located in Aisne, northern France - reports via @le_Parisien",888,1
#IllRideWithYou: Sydney Stands Up To Racism And Bigotry With One Beautiful Hashtag,2023,0
#illridewithyou: How Australians are responding to the #sydneysiege,2003,0
This is the world we now live in. Literally metres from the Cafe with phones &amp; cameras out. #sydneysiege,1910,0
Latest pictures from hostage situation at a kosher grocer in the French capital. #ParisAttacks,712,0
‘Muslims don’t believe in freedom of speech�: Anjem Choudary on the Charlie Hebdo attack:,552,0
"Parliament caucus room barricaded with chairs, via @grahamctv.",1614,0
"Omg Wow ""@FLOCKAfierce: WOW RT @AntonioFrench: Police have brought out the large gear in #Ferguson.",990,0
in support of those that have died today in Paris #CharlieHebdo #freedomwillNeverDie,15,0
Current situation in #ferguson,1190,0
Charlie Hebdo will publish one million copies next week with help from Google,614,0
#CharlieHebdo - Paris media attack kills 4 cartoonists including chief editor. #AFP,131,0
#BREAKING: The gunman behind the #SydneySiege has been named as Man Monis,2256,1
#Ferguson v #Bundy: Black jaywalking teen shot &amp; killed by cops. White trespassig rancher's militia aim guns at cops.,1046,0
GOD BLESS YOU #Ferguson RT @Daaance_Ki: Howard family pray for our own @SpookPacShakur .,1098,0
WATCH: @nswpolice conference about #sydneysiege,1944,0
The Sydney cafe siege may be part of a larger plot. @Y7News #MartinPlaceSiege,2145,1
"Dear #ISIS, If you can't handle being lampooned then you are not ready to be politically relevant. #CharlieHebdo",224,0
Let 2015 be the year that women all around the world took up cartooning/comics to tell their stories. #CharlieHebdo,410,0
Our thoughts are with Ottawa today. Important to always look for the helpers.,1599,0
I am sharing this with you. Please feel free to post it on your status to show ur support for #Ottawa #OttawaStrong,1668,0
My deepest condolences to those in Paris &amp; #CharlieHebdo! Over a cartoon!??... What happened to #FreedomOfSpeech ?,220,0
Let 2015 be the year more people from around the world take up cartooning/comics to tell their stories #JeSuisCharlie,482,0
"Debris from the Germanwings crash has already been found, says French interior minister",1426,0
WATCH: 2 women escape through front door of Sydney cafe,2209,1
Man Haron Monis ID'd as gunman holding captives in #SydneySiege. DETAILS:,2265,1
In case you are confused. Check who's the terrorist and who's the #Muslim. #JeSuisCharlie #JeSuisAhmed,637,0
#Ferguson or #Iraq? Photos unmask the militarization of America's police,1150,0
An updated map of the Sydney exclusion zone around the hostage site at Martin Pl. #sydneysiege,1986,0
Updated: The Ottawa attack heightened fears of Canada being a target for terrorists,1662,0
"#SYDNEYSIEGE: Loud bang heard, five more hostages run from #Lindt cafe - WATCH LIVE:",2267,1
"Cartoon from The New Yorker, September 2012 #CharlieHebdo",114,0
"Such a moving photo from @mariotestino, it actually brought a tear to my eye. #JeSuisCharlie",590,0
Siege at Sydney's Martin Place has now been underway for an hour. Hostages remain inside.,2094,1
Statement from Ottawa Hospital: received 3 patients. 2 in stable condition.,1762,1
#Ferguson: Towns Don't Need Tanks,1286,0
Police have confirmed the #SydneySiege is now over after more than 16 hours.,2072,0
“@LePoint: #CharlieHebdo : “The cartoonists Charb &amp; cabu are dead.�,831,1
"A while ago, I Tweeted this #CharlieHebdo cover mocking the British. I don't remember anyone threatening violence.",636,0
#SYDNEYSIEGE: American readers weigh in with their messages of support.,1931,0
BREAKING: Another hostage situation developing in a Parisian Kosher supermarket,949,1
Photos from the Parliament shooting scene,1587,0
French police: Said Kouachi and Cherif Kouachi wanted in Paris terror attack:,892,1
Shameful tourists take selfies at scene of #SydneySiege,1927,0
Customers in Sydney cafe taken hostage. Siege in center of city. Watch our friends @9NewsSyd,2098,1
#CharlieHebdo - Paris media attack kills 4 cartoonists including chief editor. #AFP,122,0
"""We surrender!"" @Telegraph publishes pic of woman reading #CharlieHebdo, blurs out cartoon cover",260,0
Everything we know about the Germanwings plane crash in France,1420,0
The police have come into the community with dogs. #ferguson,1011,0
The moving tributes to the victims of the Charlie Hebdo shooting,498,0
"Image of #Ferguson protester throwing tear gas back at police, wearing the American flag, is amazing.",1119,0
PHOTO: The area where #4U9525 crashed: Prads-Haute-Bleone,1423,0
French envoy's #CharlieHebdo #Twitter photo goes viral #ParisTerror,671,0
"BREAKING UPDATE: Gunman demands to speak to #Abbott, asks to bring him #ISIS flag",2225,1
"PLEASE DONT TRY TO BUY ME OUT, MONEY OR ANYTHING. MY STORY IS FOR JUSTICE. #Ferguson",1099,0
What a difference a day makes.,1258,0
Bad craziness. RT @FOX2now #STL SWAT has weapons drawn in #Ferguson protest in broad daylight w/ media attending,1197,0
so #MikeBrown's hat disappeared and he changed into shoes right? #Ferguson,1362,1
Gunman in #sydneysiege switches off the lights,2018,0
A silent vigil was held in London last night for the victims of the Charlie Hebdo shooting,524,0
"Hostage-taker in supermarket siege killed, reports say. #ParisAttacks",987,1
"10:28am Charlie Hebdo account mocks ISIS leader, wishing him ""good health and best wishes""",1,0
Listen to our live special coverage of Parliament Hill shooting here,1602,0
Ultra capitalism backflip - #Uber rethinks fee hike amid #Sydneysiege,2205,1
"The governing party’s meeting. Wow. @acarvin: Parliament caucus room barricaded with chairs, via @grahamctv.",1620,0
"disarm the police RT @Criticl_me: ppl dont want ur ""protection"" anymore! #Ferguson #PoliceBrutality",1142,0
#BREAKING: There are reports that a Germanwings Airbus A320 has crashed in the French Alps. More to come. #9News,1514,1
Students at Howard University show solidarity w Michael Brown and protestors in #Ferguson,1273,0
Two people reportedly seriously hurt in a shootout in the hunt for the #ParisAttack gunmen,915,1
Paris: @UNESCO staff in solidarity with #CharlieHebdo. Freedom of expression is a human right,612,0
"BREAKING | This is a photo of Michael Zehaf-Bibeau, gunman in this morning's shootings in Ottawa. #cbcOTT #OTTnews",1831,1
BREAKING: Explosions heard at store in east Paris where hostages are being held:,773,0
11 dead as shots fired at French satirical weekly #CharlieHebdo. Photo: Philippe Dupeyrat  #AFP,806,1
".@FT calls #CharlieHebdo ""stupid"" &amp; calls for editorial ""common sense."" Capitulation of free speech",268,0
Eiffel Tower went dark last night in tribute to the victims of the #CharlieHebdo attack.,663,0
.@germanwings have darkened their logo on Twitter following the crash of one of their planes in the French Alps,1465,0
French media say Paris hostage-taker demanding freedom of #CharlieHebdo suspects #ParisAttacks,972,1
"""Soldiers at the Cenotaph"": editorial cartoon by Brian Gable #OttawaShooting",1650,0
IN PICTURES: French cops close in on suspected #CharlieHebdo terrorists outside Paris,708,0
Let #NathanCirillo be remembered like this.The part time soldier doing his job &amp; bringing a little happiness #Ottawa,1820,1
The scene at the War Memorial in Ottawa,1582,0
"Breaking News: #SydneySiege is over, according to police.",2079,0
"Protest continues in front of #ferguson police dept ""the people united, will never be defeated"" #FergusonShooting",1017,0
"UPDATE: Police: ""Several shooting incidents"" being investigated in downtown Ottawa:",1733,1
"#MaryamRajavi condemns #CharlieHebdo attack in #Paris,offers her condolences to Fr ppl and Gov",278,0
"Map shows industrial estate where 2 #CharlieHebdo suspects are holed up, surrounded by police",941,1
"Texted a friend who works on Parliament Hill, &amp; got the perfect response [redacted for obvs reasons] #OttawaShooting",1688,0
"Pres. Obama condemns the #CharlieHebdo attack: Paris ""will endure well beyond the hateful vision of these killers.""",162,0
INFOGRAPHIC: Anti-#Muslim attacks in #France after the Charlie Hebdo massacre. #no2h8 @HuffPostUK @Independent,513,0
Hostages Held In Sydney Chocolate Shop Forced To Hold Up Islamic Flag,2086,1
"Can't sleep tonight, thoughts with my French cartooning colleagues, their families and loved ones #CharlieHebdo",248,0
Who is Sheikh Man Haron Monis and why was he known to police and the media? #sydneysiege,2053,0
This Remarkable Map Shows An Explosion Of Tweets About The #Ferguson Protests ➡️,1242,0
Sydney Australia: Not technically ISIS flag but Shahadah flag with Islamic creed on it. Commonly used by militants:,2092,1
Quiet where I am. Lots of talking. Lots of standing. No smash-smash. #Ferguson,1076,0
"#BREAKINGNEWS: Update - One person shot at War Memorial in Ottawa, police say",1581,0
"#CharlieHebdo: Now is the time to uphold freedoms, not give in to fear - @SimonJenkins4",240,0
"""#FERGUSON Dispatch #3: #MikeBrown Was Murdered and We Want Justice""",1334,0
Rescue teams near #4U9525 crash site,1480,0
"11 confirmed dead, Francois Hollande to visit scene of attack - latest from Paris:",813,1
Terrible news in Ottawa today. Thoughts and prayers to everyone involved #OttawaStrong,1625,0
Charlie Hebdo will print a million copies of its next edition with government and Google help,648,0
Yessss! RT @PresReed: Mother/Daughter team in #Ferguson. Daughter just took bar. Will b civil rights Atty,1327,0
Canada investigating Michael Zehaf-Bibeau as possible suspect in Ottawa shooting: source.,1801,1
"""this is not a religion""  #IamCharlie #CharlieHebdo",266,0
More gun shots and loud bangs are coming from #MartinPl as heavily armed police stormed café. #SydneySiege #9News,2269,1
"Just be ready. When #Ferguson PD release the photo of #DarrenWilson, it will look something like this.",1305,0
"Parisians will take to the streets tonight, for freedom of the press, democracy and the Republic #CharlieHebdo",146,0
"PHOTOS:: #Ferguson, Missouri, looks like a war zone",1059,0
McMaster's flags have been lowered in memory of today's shooting victim in Ottawa.,1666,0
"Military-style police in overwhelming show of force: 3 APCs, ~100 officers, high-powered rifles #Ferguson",1189,0
Happening now in #Ferguson,1053,0
"Hostage-taker appeared 'extremely agitated,' said journalist at scene of Sydney siege:",1966,0
Update: #Ferguson police release stills from convenience store footage showing robbery,1359,1
'I'll ride with you',2001,0
#Germanwings passenger plane crashes in French Alps with 148 onboard,1550,1
#CharlieHebdo - Paris media attack kills 4 cartoonists including chief editor. #AFP,855,1
Police chopper hovers over a deserted Opera House concourse.   #sydneysiege,1850,0
UPDATE: Gunman in kosher grocery store is demanding the release of the suspects in #CharlieHebdo shooting - Reports,963,1
"Calls for ""every newspaper in Europe"" to print Charlie Hebdo cartoons",204,0
A mother lost her child. A father lost his son. A young man lost his life. #JusticeForMikeBrown #Ferguson,1336,0
Germanwings pilot 'was locked out of cockpit' before fatal plane crash,1561,1
DEVELOPING: Pilot locked out of cockpit in @Germanwings Alps crash: report.,1563,1
148 people feared dead after Germanwings Airbus crash in France:,1546,1
"Heart goes out to 148 passengers and crew of Germanwings Airbus A320 that has crashed in French Alps, Southern France",1538,1
Great piece from @nytimes about the role of racial segregation in places like #Ferguson,1115,0
Just in: U.S. Consulate near the scene in Sydney has accounted for all of its personnel:,1880,0
Donald Trump labelled a 'moron' for blaming #CharlieHebdo attacks on France's lack of guns,451,0
BREAKING Germanwings says 144 passengers and 6 crew on crashed plane,1553,1
UPDATED: Gunman on the loose after soldier shot at Ottawa war memorial,1717,1
Witnesses say as many as 50 shots fired at Parliament Hill. Gunfire reported within the Parliament building. #ottawa,1711,1
Another police shooting in protest-plagued #Ferguson:,1347,1
Things to remember. #OttawaShooting,1661,0
The Lindt cafe has issued a short statement on the Martin Place siege on Facebook. #SydneySiege,1889,0
Thousands have gathered at Martin Place to honour #CharlieHebdo victims. (via @deborah_knight) #9News,456,0
If you're wondering whether to go to work tomorrow here is a mp of the #sydneysiege exclusion zone:,1951,0
Cowards~ Liberal Media Refuses To Show #CharlieHebdo Cartoons! But #RedNationRising Is NOT! #IslamIsTheProblem,311,0
I don't apologize for my blackness... Y'all got that? #FergusonShooting #Ferguson.,1275,0
The soldier killed in #Ottawa today is being named as 24-year-old Nathan Cirillo. Latest here:,1808,1
Keep advice from the Breaking News Consumers' Handbook in mind as coverage of Ottawa continues,1598,0
Is this the day that free speech died a little? @NewYorker cartoonist's poignant response to the #CharlieHebdo attack,172,0
"FYI - the cop was Muslim! RIP Ahmed Merabet. Blame TERROR, not Islam! #JeSuisCharlie #CharlieHebdo",625,0
"Charlie Hebdo: We ignored the threat from within our own societies, says @Nigel_Farage",633,0
Headquarters of @welt and @BILD in Berlin. #JeSuisCharlie,439,0
Aussies tweet #Illridewithyou to Muslims who might be scared to travel alone #sydneysiege,1950,0
"""Love is stronger than hate""",123,0
UPDATE @flightradar24 altitude &amp; speed chart of #4U9525,1402,0
#JeSuisCharlie in numbers,608,0
#CharlieHebdo attack: new hostage situation at Paris shop - live updates,686,0
Shooting at the war memorial in Ottawa.,1580,0
In case you are confused #CharlieHebdo,653,0
What we know so far about the Canadian Parliament shooting in Ottawa,1613,0
Abbott Govt MP @andrewnikolic using ongoing #SydneySiege terror to smear @Greens MP. Resign now you disgusting turd,1868,0
"Canadian police, backed by armoured vehicles, have surrounded Parliament building in Ottawa",1591,0
DEVELOPING STORY: Soldier shot in #Ottawa at War Memorial.,1705,1
"« He drew first » Cartoon for #CharlieHebdo team from cartoonist @davpope (Canberra Times, Australie)",285,0
18 controversial covers published by #CharlieHebdo,357,0
Praying for all still being held hostage xxx #sydneysiege,1964,0
Soldier killed at war memorial identified as Cpl. Nathan Cirillo #ottawashooting,1813,1
Two women flee #sydneysiege cafe,2238,1
Flightpath of Germanwings A320,1460,0
Better view of police facing off against protesters in #ferguson,1198,0
This afternoon we've lowered our flags to half mast in honour of the Canadian Reservist who lost his life in Ottawa.,1778,1
Illustrators and cartoonists respond to the horrific attack at Charlie Hebdo #JeSuisCharlie,393,0
#JeSuisCharlie rallies held worldwide to condemn Paris massacre (PHOTOS),539,0
"Meet Kevin Vickers, the hero who shot down the Parliament Hill gunman #OttawaShooting",1784,1
NSW Premier Mike Baird says his thoughts and prayers are with the people in the  #sydneysiege.,1847,0
There were about 100 families� close enough to see the helicopters - @NicRobertsonCNN on #Germanwings memorial,1501,0
"As #CharlieHebdo attack unfolded, a journalist tweeted while taking shelter on a roof",853,1
Ugh: Uber introduces $100 minimum surge pricing during #SydneySiege,2156,1
Feared at least 5 hostages are being held in Paris 'kosher' grocery,956,1
US soccer has a new First Couple: USWNT's Sydney Leroux &amp; KC's Dom Dwyer (22 goals in '14),2063,0
Police confirm three safe #SydneySiege: “Our number one aim is to resolve incident peacefully�,2183,1
There's cameras on every corner of the hood.  Let's out cameras on every cop.  What do you have to hide? #Ferguson,1048,0
Australian Muslim community releases statement in response to #sydneysiege.,1935,0
BREAKING NEWS - Exchange of fire reported in #DammartinEnGoele,906,1
To the tourists taking selfies outside the #SydneySiege - how would you like to be in that café?,1932,0
"#Ferguson is 60% black, but virtually all its cops are white.",1287,0
PM Tony Abbott has just provided an update on #SydneySiege. Here's the transcript:,1913,0
Tip Sheet: Helping Kids Cope with Media Coverage of War and Traumatic Events,1630,0
"Some press now blurring CharlieHebdo cartoons as cartoonists foresaw. This one says ""Charlie Hebdo Should be Veiled""",111,0
#CharlieHebdo suspects were on British terror watch list for years,749,0
All 150 people on a #Germanwings plane which crashed in the Alps are thought to have died,1489,0
RT #JeSuisCharlie In support of #CharlieHebdo.,49,0
Press has been corralled in with peaceful demonstrators in #ferguson,1201,0
"""We are all Charlie�: European newspapers show solidarity with Charlie Hebdo after attack",569,0
Steve Bell's cartoon on the Charlie Hebdo attack:,396,0
Don't know if this Woody Guthrie-quoting #CharlieHebdo image is really by Banksy (@therealbanksy?) but I like it.,326,0
"Haron Monis,Hostage-taker in #Sydney: Fled #Iran 96,suspect in ex-wife killing,46 sex assaults",2276,1
People are actually taking selfies on the site of the #sydneysiege,1996,0
#RIGHTNOW all bridges from #Ottawa #Gatineau are NOW CLOSED! Active search still underway (11:37est) #ParliamentHill,1734,1
Islam is a non-violent religion. Don't let a few extremists or the media fool you. #SydneySiege,1912,0
"BREAKING: Airbus A320 with 142 passengers and 6 crew members crashes in #Digne, France #4U9525",1524,1
"In reporting the story, the Telegraph has pixilated Charlie Hebdo's La Vie De Mahomet:",40,0
Sydney Opera House among buildings evacuated due to #SydneySiege:,2166,1
"Hollywood on #CharlieHebdo shooting: ""Free speech must be defended""",318,0
Likely the best #CharlieHebdo solidarity sign yet. #JeSuisCharlie,735,0
Banksy account joins cartoonists support for #CharlieHebdo #JeSuisCharlie,871,1
Hannity throws a softball to #Ferguson Police Chief #UniteBlue #LibCrib #Bundy #morningjoe,1240,0
"World leaders condemn the #CharlieHebdo attack as ""barbaric"", ""sickening"" and ""intolerable"".",62,0
"President Obama condemns Paris attack, calls it 'terrorist attack' &amp; pledges U.S. assistance:",247,0
"BREAKING: Police enter #Lindt cafe, hostages flee",2271,1
#BREAKING: Reports that some of the hostages have escaped. LIVE Ch 601 #sydneysiege,2176,1
#IllRideWithYou: Australians show solidarity with Muslims amid the Sydney siege,1980,0
"Lots of people -- some prayerful, some sad, some angry -- have gathered outside the #Ferguson police headquarters",1033,0
Revenge attacks on Muslim spaces begin in France after #CharlieHebdo massacre,501,0
#BREAKING - At least five hostages in Paris kosher supermarket: (AFP),952,1
BREAKING: One pilot was 'locked out' of cockpit before Germanwings crash,1565,1
BREAKING: Police say the hostage situation in Sydney is over:,2074,0
#CharlieHebdo will continue publishing in wake of the attack:,528,0
Cartoonists respond with the only tools they have,293,0
#Germanwings plane crash: what we know so far,1447,0
Please Retweet - to show your support for #FreedomOfSpeech ! #ParisShooting #RedNationRising #RIP #CharlieHebdo,244,0
A person living near the #Dammartin hostage scene sent us these photos #CharlieHebdo #obs,934,1
The pen is mightier,336,0
"Photo taken by @FroGoddess ""thanks for the advice #Palestine"" - #Ferguson #STL #MikeBrown",1225,0
German Wings airline tweeting now about reports of plane crashing in French Alps with 148 on board: @germanwings,1529,1
Police say the shooter is on roof of building at Metcalfe and Sparks 1 block from Parliament Hill #ottnews #cbcott,1723,1
BREAKING NEWS UPDATE: Police storm Sydney café to end hostage-taking,2064,0
Witnesses say several masked men were involved in the shooting at #CharlieHebdo's Paris HQ.,807,1
COMING UP LIVE Ottawa shooting: Stephen Harper to address nation,1835,1
All quiet again after multiple gunshots in #MartinPlace. No word on whether hostages are free #SydneySiege,2061,0
